Episode,Score,Moving Average Score,Epsilon,Seconds
79,239.13601071441624,238.4293942793779,0.0,445.9300813674927
80,257.0854163308759,238.6625945550216,0.0,450.22948598861694
81,257.55601275913693,238.89584663161563,0.0,453.63052797317505
82,265.9517932150295,239.22579719970605,0.0,456.53013825416565
83,243.71158383222226,239.27984282178454,0.0,460.7974102497101
84,280.39095560475414,239.7692608311056,0.0,465.51452922821045
85,262.74758465016043,240.03959405250626,0.0,468.64803671836853
86,239.51774055817518,240.0335259886187,0.0,472.93128538131714
87,257.67399941966164,240.23629005104448,0.0,482.4981880187988
88,300.45928921512285,240.92064231427264,0.0,486.26519751548767
89,263.84111839670004,241.17817575340104,0.0,489.6492154598236
90,263.10439684393486,241.4218004321847,0.0,493.8820700645447
91,229.4775399957038,241.29054482299262,0.0,497.04935097694397
92,235.99511928329582,241.23298584973506,0.0,501.50004148483276
93,250.9779600872728,241.33777051895586,0.0,504.88303327560425
94,227.24140918978168,241.18780922821998,0.0,508.3664245605469
95,253.99048703019807,241.32257425771448,0.0,512.1665499210358
96,260.87402908360593,241.52623524548417,0.0,520.6502475738525
97,240.53807306014625,241.5160480064601,0.0,524.4673988819122
98,241.32180197241547,241.51406590407188,0.0,528.3506879806519
99,211.63488152960264,241.21225596089542,0.0,532.6509168148041
100,284.9006069714561,241.64913947100104,0.0,536.3844504356384
