Episode,Score,Moving Average Score,Epsilon,Seconds
1,253.68157594406375,253.68157594406375,0.0,4.572012424468994
2,249.24406009516713,251.46281801961544,0.0,7.922494888305664
3,245.27167327025472,249.39910310316188,0.0,11.189273834228516
4,268.8820356759686,254.26983624636355,0.0,14.789273023605347
5,24.64374016337665,208.3446170297662,0.0,17.1236515045166
6,266.44355372329255,218.0277731453539,0.0,20.24006938934326
7,273.2753700821986,225.92028699347458,0.0,25.73999285697937
8,248.3811779155433,228.72789835873317,0.0,29.540154933929443
9,283.4054646278689,234.80318349974823,0.0,32.39022660255432
10,197.26217578438641,231.04908272821203,0.0,38.42411684989929
11,130.92503592018699,221.9468966547552,0.0,55.092066049575806
12,161.3260235802552,216.89515723188023,0.0,71.7593400478363
13,255.2979595954325,219.84921895215348,0.0,76.41009426116943
14,276.72105677197476,223.9114930821407,0.0,80.05951404571533
15,279.143348163337,227.59361675422048,0.0,85.44342422485352
16,285.28973902023336,231.19962439584629,0.0,88.26065921783447
17,284.20196607570284,234.31740920054372,0.0,91.27731728553772
18,223.07401435018386,233.6927761533015,0.0,94.92726755142212
19,258.28294105041874,234.98699535841297,0.0,99.49421000480652
20,248.45324615387082,235.66030789818586,0.0,102.79435515403748
21,207.77921506160908,234.3326368107298,0.0,112.04497694969177
22,264.5696363950659,235.7070458827451,0.0,115.61189913749695
23,241.7258969691353,235.96873506041425,0.0,119.32956767082214
24,279.1944048507637,237.7698046350121,0.0,122.61269021034241
25,218.75966441685898,237.00939902628596,0.0,127.64610242843628
26,269.76572820853426,238.26925784098785,0.0,130.84635663032532
27,240.6674494233427,238.35807975144544,0.0,134.44625091552734
28,270.38479694796706,239.50189107989263,0.0,137.93006706237793
29,266.2753766624984,240.42511472067213,0.0,142.42999935150146
30,268.96490844405787,241.37644117811834,0.0,149.83050894737244
31,212.85123301829458,240.45627317296274,0.0,154.04724192619324
32,267.07370950830295,241.2880680584421,0.0,157.69776248931885
33,246.589117556506,241.44870592201977,0.0,169.23146891593933
34,261.4831687184785,242.037954827798,0.0,173.26526165008545
35,138.98771622187007,239.09366229620005,0.0,189.9328055381775
36,259.14336377928237,239.65059844850788,0.0,194.23300743103027
37,135.09684731448883,236.82482139083172,0.0,210.90069794654846
38,236.63265624078963,236.81976441319904,0.0,214.95057845115662
39,242.7927260056686,236.97291727454444,0.0,218.23479557037354
40,235.5774180112908,236.93802979296305,0.0,221.96778106689453
41,254.84798360589875,237.374857934742,0.0,226.86829447746277
42,233.15343748641897,237.27434792406763,0.0,231.26894617080688
43,289.62383964959406,238.49177796419616,0.0,234.40179538726807
44,278.0526358525191,239.39088837074894,0.0,237.45212197303772
45,208.8715571971397,238.71268101133538,0.0,243.2856810092926
46,274.0606167258371,239.48111439643324,0.0,246.71865582466125
47,178.98574795821514,238.19397894030095,0.0,263.3869113922119
48,245.36511174619818,238.34337754042383,0.0,266.6199972629547
49,242.2948083472671,238.42401898546146,0.0,270.93725538253784
50,241.98388193915181,238.49521624453527,0.0,275.4208710193634
51,261.18139271858547,238.94004323422251,0.0,278.82083082199097
52,270.82302166168296,239.55317743475058,0.0,286.37110805511475
53,230.44171089360145,239.38126297171004,0.0,289.48807549476624
54,238.66175041830766,239.36793866516552,0.0,295.27166748046875
55,252.03117028963115,239.59817924015582,0.0,298.9219675064087
56,236.34125778245152,239.5400199284111,0.0,302.82152032852173
57,248.47627443448744,239.69679632325457,0.0,306.58922052383423
58,235.33285892723973,239.6215560233233,0.0,311.07229804992676
59,263.50769438026134,240.02640582598326,0.0,315.05634665489197
60,257.59314275984485,240.31918477488094,0.0,318.8901147842407
61,222.13123230425023,240.0210216196247,0.0,323.2899389266968
62,247.83938567510629,240.14712426568084,0.0,326.7733464241028
63,214.25328700585692,239.73611097584237,0.0,331.39010524749756
64,267.22965222122065,240.16569755780142,0.0,335.1904995441437
65,250.40757891972808,240.32326496336952,0.0,338.8919234275818
66,269.51804923055863,240.76561017953907,0.0,342.4741756916046
67,252.51936359992735,240.94103933506725,0.0,346.05751371383667
68,274.38099072466485,241.43280332609072,0.0,349.1912581920624
69,262.1109298457884,241.73248631912983,0.0,358.7269389629364
70,242.0347391319455,241.73680421645577,0.0,362.5755980014801
71,226.8078826064543,241.52653771490645,0.0,366.60881209373474
72,97.24609664580707,239.52264270005784,0.0,383.27639627456665
73,253.17977291937726,239.70972667566497,0.0,393.12768626213074
74,273.92462801337336,240.17209020725562,0.0,401.79458832740784
75,130.14095080320013,238.7050083485349,0.0,418.461993932724
76,277.00169561346723,239.20891212833666,0.0,421.79514956474304
77,241.7199606502722,239.24152314810206,0.0,425.578901052475
78,175.18885495258056,238.4203350943133,0.0,442.2458703517914
